Data;Data;Ano;Mês;Preco
1990.01;1990_01;1990;01;0,000042
1990.02;1990_02;1990;02;0,000062
1990.03;1990_03;1990;03;0,000096
1990.04;1990_04;1990;04;0,000113
1990.05;1990_05;1990;05;0,000146
1990.06;1990_06;1990;06;0,000179
1990.07;1990_07;1990;07;0,000189
1990.08;1990_08;1990;08;0,000242
1990.09;1990_09;1990;09;0,000262
1990.10;1990_10;1990;10;0,000292
1990.11;1990_11;1990;11;0,000424
1990.12;1990_12;1990;12;0,000477
1991.01;1991_01;1991;01;0,000501
1991.02;1991_02;1991;02;0,000537
1991.03;1991_03;1991;03;0,000566
1991.04;1991_04;1991;04;0,000680
1991.05;1991_05;1991;05;0,000741
1991.06;1991_06;1991;06;0,000739
1991.07;1991_07;1991;07;0,000825
1991.08;1991_08;1991;08;0,001033
1991.09;1991_09;1991;09;0,001168
1991.10;1991_10;1991;10;0,001726
1991.11;1991_11;1991;11;0,002135
1991.12;1991_12;1991;12;0,002276
1992.01;1992_01;1992;01;0,003182
1992.02;1992_02;1992;02;0,003527
1992.03;1992_03;1992;03;0,003392
1992.04;1992_04;1992;04;0,004082
1992.05;1992_05;1992;05;0,005272
1992.06;1992_06;1992;06;0,006807
1992.07;1992_07;1992;07;0,008090
1992.08;1992_08;1992;08;0,010617
1992.09;1992_09;1992;09;0,015270
1992.10;1992_10;1992;10;0,019377
1992.11;1992_11;1992;11;0,024314
1992.12;1992_12;1992;12;0,031604
1993.01;1993_01;1993;01;0,037706
1993.02;1993_02;1993;02;0,042487
1993.03;1993_03;1993;03;0,048809
1993.04;1993_04;1993;04;0,065145
1993.05;1993_05;1993;05;0,083805
1993.06;1993_06;1993;06;0,111093
1993.07;1993_07;1993;07;0,155604
1993.08;1993_08;1993;08;0,226691
1993.09;1993_09;1993;09;0,301091
1993.10;1993_10;1993;10;0,420218
1993.11;1993_11;1993;11;0,583636
1993.12;1993_12;1993;12;0,833236
1994.01;1994_01;1994;01;1,055782
1994.02;1994_02;1994;02;1,274618
1994.03;1994_03;1994;03;1,696145
1994.04;1994_04;1994;04;2,461309
1994.05;1994_05;1994;05;3,588655
1994.06;1994_06;1994;06;5,306400
1994.07;1994_07;1994;07;6,750000
1994.08;1994_08;1994;08;6,680000
1994.09;1994_09;1994;09;6,670000
1994.10;1994_10;1994;10;7,200000
1994.11;1994_11;1994;11;7,710000
1994.12;1994_12;1994;12;7,720000
