;meta;inferior;superior
jan/12;4,5;2,5;6,5
fev/12;4,5;2,5;6,5
mar/12;4,5;2,5;6,5
abr/12;4,5;2,5;6,5
mai/12;4,5;2,5;6,5
jun/12;4,5;2,5;6,5
jul/12;4,5;2,5;6,5
ago/12;4,5;2,5;6,5
set/12;4,5;2,5;6,5
out/12;4,5;2,5;6,5
nov/12;4,5;2,5;6,5
dez/12;4,5;2,5;6,5
jan/13;4,5;2,5;6,5
fev/13;4,5;2,5;6,5
mar/13;4,5;2,5;6,5
abr/13;4,5;2,5;6,5
mai/13;4,5;2,5;6,5
jun/13;4,5;2,5;6,5
jul/13;4,5;2,5;6,5
ago/13;4,5;2,5;6,5
set/13;4,5;2,5;6,5
out/13;4,5;2,5;6,5
nov/13;4,5;2,5;6,5
dez/13;4,5;2,5;6,5
jan/14;4,5;2,5;6,5
fev/14;4,5;2,5;6,5
mar/14;4,5;2,5;6,5
abr/14;4,5;2,5;6,5
mai/14;4,5;2,5;6,5
jun/14;4,5;2,5;6,5
jul/14;4,5;2,5;6,5
ago/14;4,5;2,5;6,5
set/14;4,5;2,5;6,5
out/14;4,5;2,5;6,5
nov/14;4,5;2,5;6,5
dez/14;4,5;2,5;6,5
jan/15;4,5;2,5;6,5
fev/15;4,5;2,5;6,5
mar/15;4,5;2,5;6,5
abr/15;4,5;2,5;6,5
mai/15;4,5;2,5;6,5
jun/15;4,5;2,5;6,5
jul/15;4,5;2,5;6,5
ago/15;4,5;2,5;6,5
set/15;4,5;2,5;6,5
out/15;4,5;2,5;6,5
nov/15;4,5;2,5;6,5
dez/15;4,5;2,5;6,5
jan/16;4,5;2,5;6,5
fev/16;4,5;2,5;6,5
mar/16;4,5;2,5;6,5
abr/16;4,5;2,5;6,5
mai/16;4,5;2,5;6,5
jun/16;4,5;2,5;6,5
jul/16;4,5;2,5;6,5
ago/16;4,5;2,5;6,5
set/16;4,5;2,5;6,5
out/16;4,5;2,5;6,5
nov/16;4,5;2,5;6,5
dez/16;4,5;2,5;6,5
jan/17;4,5;3;6
fev/17;4,5;3;6
mar/17;4,5;3;6
abr/17;4,5;3;6
mai/17;4,5;3;6
jun/17;4,5;3;6
jul/17;4,5;3;6
ago/17;4,5;3;6
set/17;4,5;3;6
out/17;4,5;3;6
nov/17;4,5;3;6
dez/17;4,5;3;6
jan/18;4,5;3;6
fev/18;4,5;3;6
mar/18;4,5;3;6
abr/18;4,5;3;6
mai/18;4,5;3;6
jun/18;4,5;3;6
jul/18;4,5;3;6
ago/18;4,5;3;6
set/18;4,5;3;6
out/18;4,5;3;6
nov/18;4,5;3;6
dez/18;4,5;3;6
jan/19;4,25;2,75;5,75
fev/19;4,25;2,75;5,75
mar/19;4,25;2,75;5,75
abr/19;4,25;2,75;5,75
mai/19;4,25;2,75;5,75
jun/19;4,25;2,75;5,75
jul/19;4,25;2,75;5,75
ago/19;4,25;2,75;5,75
set/19;4,25;2,75;5,75
out/19;4,25;2,75;5,75
